大分類コード,中分類コード,小分類コード,細分類コード,項目名
E,18,183,1831,電気機械器具用プラスチック製品製造業（加工業を除く）
E,18,183,1832,輸送機械器具用プラスチック製品製造業（加工業を除く）
E,18,183,1833,その他の工業用プラスチック製品製造業（加工業を除く）
E,18,183,1834,工業用プラスチック製品加工業
E,18,184,0000,発泡・強化プラスチック製品製造業
E,18,184,1841,軟質プラスチック発泡製品製造業（半硬質性を含む）
E,18,184,1842,硬質プラスチック発泡製品製造業
E,18,184,1843,強化プラスチック製板・棒・管・継手製造業
E,18,184,1844,強化プラスチック製容器・浴槽等製造業
E,18,184,1845,発泡・強化プラスチック製品加工業
E,18,185,0000,プラスチック成形材料製造業（廃プラスチックを含む）
E,18,185,1851,プラスチック成形材料製造業
E,18,185,1852,廃プラスチック製品製造業
E,18,189,0000,その他のプラスチック製品製造業
E,18,189,1891,プラスチック製日用雑貨・食卓用品製造業
E,18,189,1892,プラスチック製容器製造業
E,18,189,1897,他に分類されないプラスチック製品製造業
E,18,189,1898,他に分類されないプラスチック製品加工業
E,19,000,0000,ゴム製品製造業
E,19,190,0000,管理，補助的経済活動を行う事業所（19ゴム製品製造業）
E,19,190,1900,主として管理事務を行う本社等
E,19,190,1909,その他の管理，補助的経済活動を行う事業所
E,19,191,0000,タイヤ・チューブ製造業
E,19,191,1911,自動車タイヤ・チューブ製造業
E,19,191,1919,その他のタイヤ・チューブ製造業
E,19,192,0000,ゴム製・プラスチック製履物・同附属品製造業
E,19,192,1921,ゴム製履物・同附属品製造業
E,19,192,1922,プラスチック製履物・同附属品製造業
E,19,193,0000,ゴムベルト・ゴムホース・工業用ゴム製品製造業
E,19,193,1931,ゴムベルト製造業
E,19,193,1932,ゴムホース製造業
E,19,193,1933,工業用ゴム製品製造業
E,19,199,0000,その他のゴム製品製造業
E,19,199,1991,ゴム引布・同製品製造業
E,19,199,1992,医療・衛生用ゴム製品製造業
E,19,199,1993,ゴム練生地製造業
E,19,199,1994,更生タイヤ製造業
E,19,199,1995,再生ゴム製造業
E,19,199,1999,他に分類されないゴム製品製造業
E,20,000,0000,なめし革・同製品・毛皮製造業
E,20,200,0000,管理，補助的経済活動を行う事業所（20なめし革・同製品・毛皮製造業）
E,20,200,2000,主として管理事務を行う本社等
E,20,200,2009,その他の管理，補助的経済活動を行う事業所
E,20,201,0000,なめし革製造業
E,20,201,2011,なめし革製造業
E,20,202,0000,工業用革製品製造業（手袋を除く）
E,20,202,2021,工業用革製品製造業（手袋を除く）
E,20,203,0000,革製履物用材料・同附属品製造業
E,20,203,2031,革製履物用材料・同附属品製造業
E,20,204,0000,革製履物製造業
E,20,204,2041,革製履物製造業
E,20,205,0000,革製手袋製造業
E,20,205,2051,革製手袋製造業
E,20,206,0000,かばん製造業
E,20,206,2061,かばん製造業
E,20,207,0000,袋物製造業
E,20,207,2071,袋物製造業（ハンドバッグを除く）
E,20,207,2072,ハンドバッグ製造業
E,20,208,0000,毛皮製造業
E,20,208,2081,毛皮製造業
E,20,209,0000,その他のなめし革製品製造業
E,20,209,2099,その他のなめし革製品製造業
E,21,000,0000,窯業・土石製品製造業
E,21,210,0000,管理，補助的経済活動を行う事業所（21窯業・土石製品製造業）
E,21,210,2100,主として管理事務を行う本社等
E,21,210,2109,その他の管理，補助的経済活動を行う事業所
E,21,211,0000,ガラス・同製品製造業
E,21,211,2111,板ガラス製造業
E,21,211,2112,板ガラス加工業
E,21,211,2113,ガラス製加工素材製造業
E,21,211,2114,ガラス容器製造業
E,21,211,2115,理化学用・医療用ガラス器具製造業
E,21,211,2116,卓上用・ちゅう房用ガラス器具製造業
E,21,211,2117,ガラス繊維・同製品製造業
E,21,211,2119,その他のガラス・同製品製造業
E,21,212,0000,セメント・同製品製造業
E,21,212,2121,セメント製造業
E,21,212,2122,生コンクリート製造業
E,21,212,2123,コンクリート製品製造業
E,21,212,2129,その他のセメント製品製造業
E,21,213,0000,建設用粘土製品製造業（陶磁器製を除く)
E,21,213,2131,粘土かわら製造業
E,21,213,2132,普通れんが製造業
E,21,213,2139,その他の建設用粘土製品製造業
E,21,214,0000,陶磁器・同関連製品製造業
E,21,214,2141,衛生陶器製造業
E,21,214,2142,食卓用・ちゅう房用陶磁器製造業
E,21,214,2143,陶磁器製置物製造業
E,21,214,2144,電気用陶磁器製造業
