id,code,jsic_division_code,name
"464","817","81","専修学校、各種学校"
"465","818","81","学校教育支援機関"
"466","819","81","幼保連携型認定こども園"
"467","820","82","管理、補助的経済活動を行う事業所（82その他の教育、学習支援業）"
"468","821","82","社会教育"
"469","822","82","職業・教育支援施設"
"470","823","82","学習塾"
"471","824","82","教養・技能教授業"
"472","829","82","他に分類されない教育、学習支援業"
"473","830","83","管理、補助的経済活動を行う事業所（83医療業）"
"474","831","83","病院"
"475","832","83","一般診療所"
"476","833","83","歯科診療所"
"477","834","83","助産・看護業"
"478","835","83","施術業"
"479","836","83","医療に附帯するサービス業"
"480","840","84","管理、補助的経済活動を行う事業所（84保健衛生）"
"481","841","84","保健所"
"482","842","84","健康相談施設"
"483","849","84","その他の保健衛生"
"484","850","85","管理、補助的経済活動を行う事業所（85社会保険・社会福祉・介護事業）"
"485","851","85","社会保険事業団体"
"486","852","85","福祉事務所"
"487","853","85","児童福祉事業"
"488","854","85","老人福祉・介護事業"
"489","855","85","障害者福祉事業"
"490","859","85","その他の社会保険・社会福祉・介護事業"
"491","860","86","管理、補助的経済活動を行う事業所（86郵便局）"
"492","861","86","郵便局"
"493","862","86","郵便局受託業"
"494","870","87","管理、補助的経済活動を行う事業所（87協同組合）"
"495","871","87","農林水産業協同組合（他に分類されないもの）"
"496","872","87","事業協同組合（他に分類されないもの）"
"497","880","88","管理、補助的経済活動を行う事業所（88廃棄物処理業）"
"498","881","88","一般廃棄物処理業"
"499","882","88","産業廃棄物処理業"
"500","889","88","その他の廃棄物処理業"
"501","890","89","管理、補助的経済活動を行う事業所（89自動車整備業）"
"502","891","89","自動車整備業"
"503","900","90","管理、補助的経済活動を行う事業所（90機械等修理業）"
"504","901","90","機械修理業（電気機械器具を除く）"
"505","902","90","電気機械器具修理業"
"506","903","90","表具業"
"507","909","90","その他の修理業"
"508","910","91","管理、補助的経済活動を行う事業所（91職業紹介・労働者派遣業）"
"509","911","91","職業紹介業"
"510","912","91","労働者派遣業"
"511","920","92","管理、補助的経済活動を行う事業所（92その他の事業サービス業）"
"512","921","92","速記・ワープロ入力・複写業"
"513","922","92","建物等維持管理業"
"514","923","92","警備業"
"515","929","92","他に分類されない事業サービス業"
"516","931","93","経済団体"
"517","932","93","労働団体"
"518","933","93","学術・文化団体"
"519","934","93","政治団体"
"520","939","93","他に分類されない非営利的団体"
"521","941","94","神道系宗教"
"522","942","94","仏教系宗教"
"523","943","94","キリスト教系宗教"
"524","949","94","その他の宗教"
"525","950","95","管理、補助的経済活動を行う事業所（95その他のサービス業）"
"526","951","95","集会場"
"527","952","95","と畜場"
"528","959","95","他に分類されないサービス業"
"529","961","96","外国公館"
"530","969","96","その他の外国公務"
"531","971","97","立法機関"
"532","972","97","司法機関"
"533","973","97","行政機関"
"534","981","98","都道府県の機関"
"535","982","98","市町村の機関"
"536","999","99","分類不能の産業"
